division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
super flyweight,569060,2017-05-21,WBO World super flyweight title ,749077,628407,KO,"Ariake Colosseum, Tokyo",Naoya Inoue,Ricardo Rodriguez,W
super lightweight,502699,2017-05-20,WBC World super lightweight title WBO World super lightweight title ,746195,447121,RTD,"Madison Square Garden, New York, New York",Terence Crawford,Felix Diaz,W
light flyweight,634552,2017-05-20,WBO World light flyweight title ,748661,666339,UD,"Takeda  Teva Ocean Arena, Nagoya, Aichi",Kosei Tanaka,Angel Acosta,W
heavyweight,565200,2017-05-06,WBO World heavyweight title The referee deducted a point against Cojanu at the 4th round due to repeatedly pushing down the head of Parker during the clinches,746275,613846,UD,"Vodafone Events Centre, Manukau City",Joseph Parker,Razvan Cojanu,W
bantamweight,568806,2017-04-23,vacant WBO World bantamweight title ,747154,482863,TKO,"EDION Arena Osaka, Osaka, Osaka",Marlon Tapales,Shohei Omori,W
featherweight,501289,2017-04-22,WBO World featherweight title Marriaga down once in Round 10.,746735,629933,UD,"StubHub Center, Carson, California",Oscar Valdez,Miguel Marriaga,W
middleweight,238446,2017-04-22,"interim WBO World middleweight title Langford, cut on the left eyebrow in the 3rd round, down from a left to the head in the 5th.",745702,621635,TKO,"Leicester Arena, Leicester, Leicestershire",Tommy Langford,Avtandil Khurtsidze,L
super featherweight,516570,2017-04-08,WBO World super featherweight title ,745543,659771,RTD,"MGM National Harbor, Oxon Hill, Maryland",Vasyl Lomachenko,Jason Sosa,W
super welterweight,466535,2017-04-08,"interim WBO World super welterweight title Smith, cut on the right eyebrow in the 3rd round, scaled 11st 1lb 15oz and then 11st 1lb 10oz after stripping naked  and as such could not win the title .Williams was deemed in no position to continue after suffering a double laceration to the right eyelid.",745699,588275,RTD,"Manchester Arena (formerly M.E.N Arena), Manchester, Lancashire",Liam Williams,Liam Smith,L
minimumweight,472956,2017-02-26,interim WBO World minimumweight title ,744399,450528,SD,"Matsushima Athletic Park Gym, Kamiamakusa, Kumamoto",Tatsuya Fukuhara,Moises Calleros,W
light flyweight,395318,2016-12-31,vacant WBO World light flyweight title ,742153,666339,TKO,"Memorial Center, Gifu, Gifu",Kosei Tanaka,Moises Fuentes,W
super flyweight,171513,2016-12-30,WBO World super flyweight title ,742476,628407,TKO,"Ariake Colosseum, Tokyo",Naoya Inoue,Kohei Kono,W
cruiserweight,438266,2016-12-17,WBO World cruiserweight title Mchunu down in rd 6 &amp; twice in rd 9.,740727,659772,KO,"Forum, Inglewood, California",Oleksandr Usyk,Thabiso Mchunu,W
super lightweight,355640,2016-12-10,WBC World super lightweight title WBO World super lightweight title ,741685,447121,TKO,"CenturyLink Center, Omaha, Nebraska",Terence Crawford,John Molina Jr,W
heavyweight,489762,2016-12-10,vacant WBO World heavyweight title ,741680,613846,MD,"Spark Arena, Auckland",Joseph Parker,Andy Ruiz Jr,W
middleweight,564163,2016-12-03,WBO World middleweight title ,742028,482499,UD,"Lagoon Leisure Centre, Paisley, Scotland",Billy Joe Saunders,Artur Akavov,W
super featherweight,462974,2016-11-26,WBO World super featherweight title ,740409,659771,RTD,"Cosmopolitan of Las Vegas, Las Vegas, Nevada",Vasyl Lomachenko,Nicholas Walters,W
lightweight,93086,2016-11-26,WBO World lightweight title Cruz down twice in the 8th round.,738202,483554,TKO,"Motorpoint Arena, Cardiff, Wales",Terry Flanagan,Orlando Cruz,W
light heavyweight,505927,2016-11-19,WBA Super World light heavyweight title IBF World light heavyweight title WBO World light heavyweight title Ward down in round two,738145,281958,UD,"T-Mobile Arena, Las Vegas, Nevada",Andre Ward,Sergey Kovalev,W
welterweight,6129,2016-11-05,WBO World welterweight title Vargas down once in Round 2.,738296,468475,UD,"Thomas & Mack Center, Las Vegas, Nevada",Jessie Vargas,Manny Pacquiao,L
cruiserweight,659772,2016-09-17,WBO World cruiserweight title ,735687,470367,UD,"Ergo Arena, Gdansk",Krzysztof Glowacki,Oleksandr Usyk,L
super welterweight,348759,2016-09-17,"WBO World super welterweight title Alvarez, cut corner left eye from punch in the 2nd round, suffered a fractured right thumb.Smith, cut by the right eye from punch in the 5th round, down in rounds 7 and 8 and down and out from a body shot in 9th.",735320,466535,KO,"AT&T Stadium, Arlington, Texas",Liam Smith,Saul Alvarez,L
super flyweight,532982,2016-09-04,WBO World super flyweight title ,737217,628407,KO,"Sky Arena, Zama, Kanagawa",Naoya Inoue,Karoon Jarupianlerd,W
minimumweight,672310,2016-08-20,vacant WBO World minimumweight title ,734633,110049,TD,"Komagatani Gym, Sanda, Hyogo",Katsunari Takayama,Riku Kano,W
bantamweight,482863,2016-07-27,WBO World bantamweight title Tapales down twice in Round 5; Pungluang down once in Round 6 and Round 11.,734507,351371,KO,Ayutthaya,Panya Uthok,Marlon Tapales,L
super lightweight,432621,2016-07-23,WBC World super lightweight title WBO World super lightweight title Postol down twice in round five and lost one point in round eleven for hitting behind the head,730066,447121,UD,"MGM Grand, Las Vegas, Nevada",Terence Crawford,Viktor Postol,W
lightweight,9357,2016-07-16,WBO World lightweight title Flanagan cut on the cheekbone.,734652,483554,UD,"Ice Arena Wales, Cardiff, Wales",Terry Flanagan,Mzonke Fana,W
super featherweight,233591,2016-07-16,interim WBO World super featherweight title Thai boxer cut over left eye in 2nd round and down twice in 4th round.,736976,553222,KO,"Polideportivo Soraya Jimenez, Los Reyes La Paz, México",Miguel Berchelt,Suriya Tatakhun,W
light heavyweight,339766,2016-07-11,WBA Super World light heavyweight title IBF World light heavyweight title WBO World light heavyweight title Isaac Chilemba down 2:27 of round 7.,732322,505927,UD,"DIVS, Ekaterinburg",Sergey Kovalev,Isaac Chilemba,W
super featherweight,659771,2016-06-11,WBO World super featherweight title Martinez down and counted out in rd 5.,729473,93555,KO,"Madison Square Garden Theater, New York, New York",Roman Martinez,Vasyl Lomachenko,L
super welterweight,320722,2016-06-04,WBO World super welterweight title ,729795,466535,KO,"Echo Arena, Liverpool, Merseyside",Liam Smith,Predrag Radosevic,W
light flyweight,292550,2016-05-28,WBO World light flyweight title Garcia down twice in Round 3.,731970,215599,RTD,"University of St. La Salle Coliseum, Bacolod City, Negros Occidental",Donnie Nietes,Raul Garcia,W
super flyweight,504541,2016-05-08,WBO World super flyweight title ,730101,628407,UD,"Ariake Colosseum, Tokyo",Naoya Inoue,David Carmona,W
super bantamweight,370016,2016-04-23,WBO World super bantamweight title Bedak down twice in Round 2 and once in Round 3.,727844,48243,TKO,"Cebu City Sports Complex, Cebu City, Cebu",Nonito Donaire,Zsolt Bedak,W
cruiserweight,36642,2016-04-16,WBO World cruiserweight title Cunningham down twice in round two and once in rounds ten and twelve,728623,470367,UD,"Barclays Center, Brooklyn, New York",Krzysztof Glowacki,Steve Cunningham,W
super middleweight,208432,2016-04-09,WBO World super middleweight title ,726181,509666,UD,"MGM Grand, Grand Garden Arena, Las Vegas, Nevada",Gilberto Ramirez,Arthur Abraham,W
lightweight,168317,2016-03-12,WBO World lightweight title Flanagan had one point deducted in the 8th round for a forearm to the chin.,724608,483554,UD,"Echo Arena, Liverpool, Merseyside",Terry Flanagan,Derry Mathews,W
super featherweight,538963,2016-03-12,interim WBO World super featherweight title Jupp down three times.,728423,553222,TKO,"Polyforum Zam Ná, Merida, Yucatán",Miguel Berchelt,George Jupp,W
welterweight,482805,2016-03-05,vacant WBO World welterweight title Ali down in rds. 8 and 9,727124,468475,TKO,"DC Armory, Washington, District of Columbia",Jessie Vargas,Sadam Ali,W
super lightweight,360267,2016-02-27,WBO World super lightweight title ,726189,447121,TKO,"Madison Square Garden Theater, New York, New York",Terence Crawford,Henry Lundy,W
bantamweight,467367,2016-02-12,WBO World bantamweight title Fight stopped due to a cut on Pabustan's left eyebrow caused by an accidental headbutt in Round 3.,724714,351371,TD,"Soongnern School, Soongnern, Nakhon Ratchasima",Panya Uthok,Jetro Pabustan,W
light heavyweight,290691,2016-01-30,IBF World light heavyweight title WBA Super World light heavyweight title WBO World light heavyweight title ,722448,505927,RTD,"Bell Centre, Montreal, Quebec",Sergey Kovalev,Jean Pascal,W
minimumweight,658330,2015-12-31,WBO World minimumweight title ,723780,666339,KO,"Aichi Prefectural Gym, Nagoya, Aichi",Kosei Tanaka,Vic Saludar,W
super flyweight,388026,2015-12-29,WBO World super flyweight title ,722578,628407,TKO,"Ariake Colosseum, Tokyo",Naoya Inoue,Warlito Parrenas,W
middleweight,482499,2015-12-19,WBO World middleweight title Lee down twice in the 3rd round.,721982,344849,MD,"Manchester Arena (formerly M.E.N Arena), Manchester, Lancashire",Andy Lee,Billy Joe Saunders,L
super bantamweight,537244,2015-12-11,vacant WBO World super bantamweight title Juarez down twice in round four,723502,48243,UD,"Coliseo Roberto Clemente, San Juan",Nonito Donaire,Cesar Juarez,W
heavyweight,479205,2015-11-28,WBA Super World heavyweight title IBF World heavyweight title WBO World heavyweight title International Boxing Organization World heavyweight title Fury deducted one point in 11th round for shots behind the head,721333,7035,UD,"ESPRIT arena, Düsseldorf, Nordrhein-Westfalen",Wladimir Klitschko,Tyson Fury,L
super middleweight,424318,2015-11-21,WBO World super middleweight title Murray lost one point for holding in round eleven,720320,208432,SD,"Tui Arena, Hannover, Niedersachsen",Arthur Abraham,Martin Murray,W
welterweight,263037,2015-11-07,WBO World welterweight title Rios down twice in round nine,720007,268173,TKO,"Thomas & Mack Center, Las Vegas, Nevada",Timothy Bradley Jr,Brandon Rios,W
super lightweight,378929,2015-10-24,"WBO World super lightweight title Jean down in rounds  one,nine, and 10",718847,447121,TKO,"CenturyLink Center, Omaha, Nebraska",Terence Crawford,Dierry Jean,W
