boxerid,boxername,alias,birth name,birth place,born,bouts,date.of.death,age.of.death,debut,division,global ID,height.imp,height.cm,KOs,manager/agent,promoter,ranking,reach.in,reach.cm,residence,role,rounds,stance,titles held,US ID,VADA CBP,KO.percent,boxerid.num
http://boxrec.com/boxer/1002,Michael Olajide,The Silk,NA,"Liverpool, Merseyside, United Kingdom",1963-12-08,32,NA,NA,1981-12-17,middleweight,1002,6.083333333333333,185,59%,NA,NA,NA,77,196,"Vancouver, British Columbia, Canada",Boxer,225,orthodox,NA,004659,NA,0.59,1002
http://boxrec.com/boxer/10035,Alberto Morales,Costenito,NA,NA,NA,42,NA,NA,1969-11-22,flyweight,10035,5.208333333333333,159,21%,NA,NA,NA,NA,NA,"Acapulco, Guerrero, Mexico",Boxer,414,NA,NA,NA,NA,0.21,10035
http://boxrec.com/boxer/10039,Ignacio Espinal,NA,NA,"Santiago de los Caballeros, Dominican Republic",1949-02-01,51,NA,NA,1969-06-16,flyweight,10039,NA,NA,49%,NA,NA,NA,NA,NA,Dominican Republic,Boxer,328,NA,NA,NA,NA,0.49,10039
http://boxrec.com/boxer/10042,Betulio Gonzalez,NA,NA,"La Concepcion, Maracaibo, Venezuela",1949-10-24,92,NA,NA,1968-04-24,flyweight,10042,5.208333333333333,159,57%,NA,NA,NA,66,168,"Maracaibo, Venezuela",Boxer,696,orthodox,NA,NA,NA,0.57,10042
http://boxrec.com/boxer/10047,Shoji Oguma,NA,NA,"Koriyama, Fukushima, Japan",1951-07-22,49,NA,NA,1970-12-26,flyweight,10047,5.291666666666667,161,41%,NA,NA,NA,NA,NA,"Tokyo, Japan",Boxer,382,southpaw,NA,NA,NA,0.41,10047
http://boxrec.com/boxer/10048,Lupe Madera,NA,Jorge Guadalupe Madera Pacheco,"Sotuta, Yucatán, Mexico",1952-12-17,53,2005-12-03,52,1972-01-12,light flyweight,10048,5,152,43%,NA,NA,NA,NA,NA,"Merida, Yucatán, Mexico",Boxer,361,orthodox,NA,NA,NA,0.43,10048
http://boxrec.com/boxer/10049,Jiro Takada,Yuji Oka,NA,"Yokohama, Kanagawa, Japan",1953-01-24,57,NA,NA,1970-01-11,flyweight,10049,5.208333333333333,159,26%,NA,NA,NA,NA,NA,"Yokohama, Kanagawa, Japan",Boxer,397,orthodox,NA,NA,NA,0.26,10049
http://boxrec.com/boxer/10051,Orlando Javierto,NA,NA,NA,NA,13,NA,NA,1974-07-19,bantamweight,10051,NA,NA,23%,NA,NA,NA,NA,NA,NA,Boxer,94,NA,NA,NA,NA,0.23,10051
http://boxrec.com/boxer/10052,Luis Reyes Arnal,NA,NA,Venezuela,NA,21,NA,NA,1974-02-01,flyweight,10052,NA,NA,43%,NA,NA,NA,NA,NA,Venezuela,Boxer,110,NA,NA,NA,NA,0.43,10052
http://boxrec.com/boxer/10053,Kimio Furesawa,NA,NA,"Iwate, Japan",1950-01-09,37,NA,NA,1969-01-09,flyweight,10053,5.333333333333333,162,22%,NA,NA,NA,63,160,"Tokyo, Japan",Boxer,253,orthodox,NA,NA,NA,0.22,10053
http://boxrec.com/boxer/10054,Facomron Vibonchai,TacomronVibonchai,NA,NA,NA,6,NA,NA,1976-08-26,flyweight,10054,NA,NA,33%,NA,NA,NA,NA,NA,NA,Boxer,36,NA,NA,NA,NA,0.33,10054
http://boxrec.com/boxer/10055,Chan-Hee Park,NA,NA,"Busan, South Korea",1957-03-23,23,NA,NA,1977-07-08,flyweight,10055,5.291666666666667,161,26%,NA,NA,NA,NA,NA,"Busan, South Korea",Boxer,211,orthodox,NA,NA,NA,0.26,10055
http://boxrec.com/boxer/10057,Orlando Maldonado,NA,NA,"Bayamon, Puerto Rico",1959-11-21,34,NA,NA,1977-05-06,flyweight,10057,5.333333333333333,163,41%,NA,NA,NA,NA,NA,Puerto Rico,Boxer,201,NA,NA,NA,NA,0.41,10057
http://boxrec.com/boxer/10058,Sung-Jun Kim,NA,NA,"Busan, South Korea",1953-06-03,48,1989-02-03,35,1971-12-28,light flyweight,10058,NA,NA,27%,NA,NA,NA,NA,NA,"Busan, South Korea",Boxer,402,orthodox,NA,NA,NA,0.27,10058
http://boxrec.com/boxer/10059,Gabriel Bernal,NA,Gabriel Bernal Mendoza,"Cruz Grande, Guerrero, Mexico",1956-03-24,60,2014-06-12,58,1974-03-06,flyweight,10059,5.208333333333333,159,47%,NA,NA,NA,68,173,"Mexico City, Distrito Federal, Mexico",Boxer,421,southpaw,NA,NA,NA,0.47,10059
http://boxrec.com/boxer/1006,Tyrell Biggs,NA,NA,"Philadelphia, Pennsylvania, USA",1960-12-22,40,NA,NA,1984-11-15,heavyweight,1006,6.416666666666667,196,50%,NA,NA,NA,80,203,"Newport Beach, California, USA",Boxer,205,orthodox,NA,NA,NA,0.5,1006
http://boxrec.com/boxer/100613,Jaime Barboza,El Indio,Jaime Barboza Jimenez,"Limon, Costa Rica",1978-05-09,30,NA,NA,2003-09-28,super welterweight,100613,5.75,175,30%,NA,NA,"301 / 1,8051 / 2",69.5,177,"San Jose, San Jose, Costa Rica",Boxer,217,orthodox,NA,068470,NA,0.3,100613
http://boxrec.com/boxer/1008,Mai Thomburifarm,NA,NA,NA,NA,19,NA,NA,1986-07-12,minimumweight,1008,NA,NA,42%,NA,NA,NA,NA,NA,NA,Boxer,94,NA,NA,NA,NA,0.42,1008
http://boxrec.com/boxer/1012,Sumbu Kalambay,Patrizio -Ali,NA,"Lubumbashi, Democratic Republic Of The Congo",1956-04-10,64,NA,NA,1980-10-10,middleweight,1012,5.75,175,52%,NA,NA,NA,72,183,"Ancona, Marche, Italy",Boxer,427,orthodox,NA,NA,NA,0.52,1012
http://boxrec.com/boxer/1014,Hyung-Chul Lee,NA,NA,"Gimje, South Korea",1969-12-13,25,NA,NA,1987-10-24,super flyweight,1014,5.458333333333333,167,60%,NA,NA,NA,NA,NA,"Seoul, South Korea",Boxer,124,orthodox,NA,NA,NA,0.6,1014
http://boxrec.com/boxer/10160,Erik Lopez,Bam Bam,Erik López Robles,NA,1975-01-09,37,NA,NA,1992-06-03,super flyweight,10160,NA,NA,38%,NA,NA,NA,NA,NA,"Toluca, México, Mexico",Boxer,229,orthodox,NA,NA,NA,0.38,10160
http://boxrec.com/boxer/10165,Domingo Guillen,El Cachorrito,NA,Dominican Republic,1968-08-03,57,NA,NA,1991-06-15,flyweight,10165,5.416666666666667,165,60%,NA,NA,NA,67,170,"Santo Domingo, Dominican Republic",Boxer,206,orthodox,NA,NA,NA,0.6,10165
http://boxrec.com/boxer/10174,Mike Cappiello,Little Rock,NA,"Brockton, Massachusetts, USA",1961-09-25,39,NA,NA,1986-11-26,super featherweight,10174,NA,NA,33%,NA,NA,NA,NA,NA,"South Easton, Massachusetts, USA",Boxer,216,orthodox,NA,016093,NA,0.33,10174
http://boxrec.com/boxer/1019,Juan Domingo Roldan,Martillo,NA,"Freyre, Cordoba, Argentina",1957-03-06,75,NA,NA,1978-12-08,middleweight,1019,5.666666666666667,173,63%,NA,NA,NA,NA,NA,"Freyre, Cordoba, Argentina",Boxer,445,orthodox,NA,NA,NA,0.63,1019
http://boxrec.com/boxer/102266,Teruo Misawa,NA,NA,"Kumagaya, Saitama, Japan",1978-12-11,27,NA,NA,1998-10-03,minimumweight,102266,5.166666666666667,157,26%,NA,NA,NA,NA,NA,"Tokyo, Japan",Boxer,168,orthodox,NA,NA,NA,0.26,102266
http://boxrec.com/boxer/102501,Alejandro Hernandez,Payasito / Little Clown,José Alejandro Hernández Hernández,"Iztapalapa, Distrito Federal, Mexico",1986-06-16,46,NA,NA,2002-04-06,super bantamweight,102501,5.5,168,35%,NA,NA,"75 / 1,24715 / 264",66,168,"Mexico City, Distrito Federal, Mexico",Boxer,346,orthodox,NA,056712,NA,0.35,102501
http://boxrec.com/boxer/1027,Armando Velasco,Tontin,NA,"Puebla, Mexico",1963-08-09,32,NA,NA,1982-11-11,flyweight,1027,NA,NA,50%,NA,NA,NA,NA,NA,NA,Boxer,195,NA,NA,NA,NA,0.5,1027
http://boxrec.com/boxer/10274,Antonio Gomez,El León de Cumana,NA,"Cumana, Venezuela",1945-09-07,52,NA,NA,1967-02-28,featherweight,10274,5.5,168,38%,NA,NA,NA,67,170,"Cumana, Venezuela",Boxer,386,NA,NA,NA,NA,0.38,10274
http://boxrec.com/boxer/10277,Enrique Jana,NA,NA,"Buenos Aires, Distrito Federal, Argentina",1940-11-23,69,NA,NA,1962-02-09,lightweight,10277,NA,NA,17%,NA,NA,NA,NA,NA,"Sacramento, California, USA",Boxer,616,NA,NA,NA,NA,0.17,10277
http://boxrec.com/boxer/10279,Nicolino Locche,El Intocable,Nicolino Felipe Locche,"Tunuyan, Mendoza, Argentina",1939-09-02,136,2005-09-07,66,1958-12-11,super lightweight,10279,5.5,168,10%,NA,NA,NA,NA,NA,"Buenos Aires, Distrito Federal, Argentina",Boxer,1349,orthodox,NA,NA,NA,0.1,10279
http://boxrec.com/boxer/1028,Rene Arredondo,NA,Rene Luis Arredondo,"Apatzingan, Michoacán de Ocampo, Mexico",1961-06-15,58,NA,NA,1979-11-15,super lightweight,1028,5.916666666666667,180,69%,NA,NA,NA,NA,NA,"Los Angeles, California, USA",Boxer,259,orthodox,NA,NA,NA,0.69,1028
http://boxrec.com/boxer/10282,Alfonso Frazer,Peppermint,Alfonso Gerald Frazer,"Panama City, Panama",1948-01-04,63,NA,NA,1965-04-10,super lightweight,10282,5.666666666666667,173,48%,NA,NA,NA,NA,NA,"Panama City, Panama",Boxer,438,NA,NA,NA,NA,0.48,10282
http://boxrec.com/boxer/10283,Josue Marquez,NA,NA,NA,NA,44,NA,NA,1966-08-20,super lightweight,10283,NA,NA,16%,NA,NA,NA,NA,NA,Puerto Rico,Boxer,363,NA,NA,NA,NA,0.16,10283
