boxerid,attributevalue,boxername,attributetype
http://boxrec.com/boxer/33535,Boxer,Miguel Cotto,role
http://boxrec.com/boxer/33535,45,Miguel Cotto,bouts
http://boxrec.com/boxer/33535,321,Miguel Cotto,rounds
http://boxrec.com/boxer/33535,73%,Miguel Cotto,KOs
http://boxrec.com/boxer/33535,33535,Miguel Cotto,global ID
http://boxrec.com/boxer/33535,060444,Miguel Cotto,US ID
http://boxrec.com/boxer/33535,Miguel Angel Cotto,Miguel Cotto,birth name
http://boxrec.com/boxer/33535,Junito,Miguel Cotto,alias
http://boxrec.com/boxer/33535,1980-10-29,Miguel Cotto,born
http://boxrec.com/boxer/33535,2001-02-23,Miguel Cotto,debut
http://boxrec.com/boxer/33535,super welterweight,Miguel Cotto,division
http://boxrec.com/boxer/33535,orthodox,Miguel Cotto,stance
http://boxrec.com/boxer/33535,5′ 7″   /   170cm,Miguel Cotto,height
http://boxrec.com/boxer/33535,67″   /   170cm,Miguel Cotto,reach
http://boxrec.com/boxer/33535,"Caguas, Puerto Rico",Miguel Cotto,residence
http://boxrec.com/boxer/33535,"Providence, Rhode Island, USA",Miguel Cotto,birth place
http://boxrec.com/boxer/482499,Boxer,Billy Joe Saunders,role
http://boxrec.com/boxer/482499,"4 / 1,5301 / 100",Billy Joe Saunders,ranking
http://boxrec.com/boxer/482499,24,Billy Joe Saunders,bouts
http://boxrec.com/boxer/482499,151,Billy Joe Saunders,rounds
http://boxrec.com/boxer/482499,50%,Billy Joe Saunders,KOs
http://boxrec.com/boxer/482499,482499,Billy Joe Saunders,global ID
http://boxrec.com/boxer/482499,'Superb',Billy Joe Saunders,alias
http://boxrec.com/boxer/482499,1989-08-30 / age 27,Billy Joe Saunders,born
http://boxrec.com/boxer/482499,2009-02-28,Billy Joe Saunders,debut
http://boxrec.com/boxer/482499,middleweight,Billy Joe Saunders,division
http://boxrec.com/boxer/482499,southpaw,Billy Joe Saunders,stance
http://boxrec.com/boxer/482499,5′ 11″   /   180cm,Billy Joe Saunders,height
http://boxrec.com/boxer/482499,"Hatfield, Hertfordshire, United Kingdom",Billy Joe Saunders,residence
http://boxrec.com/boxer/482499,"Welwyn Garden City, Hertfordshire, United Kingdom",Billy Joe Saunders,birth place
http://boxrec.com/boxer/6129,Boxer  Promoter  ,Manny Pacquiao,role
http://boxrec.com/boxer/6129,"1 / 2,2281 / 30",Manny Pacquiao,ranking
http://boxrec.com/boxer/6129,67,Manny Pacquiao,bouts
http://boxrec.com/boxer/6129,443,Manny Pacquiao,rounds
http://boxrec.com/boxer/6129,57%,Manny Pacquiao,KOs
http://boxrec.com/boxer/6129,6129,Manny Pacquiao,global ID
http://boxrec.com/boxer/6129,015582,Manny Pacquiao,US ID
http://boxrec.com/boxer/6129,Emmanuel Dapidran Pacquiao,Manny Pacquiao,birth name
http://boxrec.com/boxer/6129,Pac Man,Manny Pacquiao,alias
http://boxrec.com/boxer/6129,1978-12-17 / age 38,Manny Pacquiao,born
http://boxrec.com/boxer/6129,1995-01-22,Manny Pacquiao,debut
http://boxrec.com/boxer/6129,welterweight,Manny Pacquiao,division
http://boxrec.com/boxer/6129,southpaw,Manny Pacquiao,stance
http://boxrec.com/boxer/6129,5′ 5½″   /   166cm,Manny Pacquiao,height
http://boxrec.com/boxer/6129,67″   /   170cm,Manny Pacquiao,reach
http://boxrec.com/boxer/6129,"General Santos City, Cotabato del Sur, Philippines",Manny Pacquiao,residence
http://boxrec.com/boxer/6129,"Kibawe, Bukidnon, Philippines",Manny Pacquiao,birth place
http://boxrec.com/boxer/281958,Boxer,Andre Ward,role
http://boxrec.com/boxer/281958,"1 / 1,0881 / 167",Andre Ward,ranking
http://boxrec.com/boxer/281958,31,Andre Ward,bouts
http://boxrec.com/boxer/281958,230,Andre Ward,rounds
http://boxrec.com/boxer/281958,48%,Andre Ward,KOs
http://boxrec.com/boxer/281958,281958,Andre Ward,global ID
http://boxrec.com/boxer/281958,071631,Andre Ward,US ID
http://boxrec.com/boxer/281958,WBA Super World Super Middleweight,Andre Ward,titles held
http://boxrec.com/boxer/281958,Andre Michael Ward,Andre Ward,birth name
http://boxrec.com/boxer/281958,S.O.G.,Andre Ward,alias
http://boxrec.com/boxer/281958,1984-02-23 / age 33,Andre Ward,born
http://boxrec.com/boxer/281958,2004-12-18,Andre Ward,debut
http://boxrec.com/boxer/281958,light heavyweight,Andre Ward,division
http://boxrec.com/boxer/281958,orthodox,Andre Ward,stance
http://boxrec.com/boxer/281958,6′ 0″   /   183cm,Andre Ward,height
http://boxrec.com/boxer/281958,71″   /   180cm,Andre Ward,reach
http://boxrec.com/boxer/281958,"Oakland, California, USA",Andre Ward,residence
http://boxrec.com/boxer/281958,"San Francisco, California, USA",Andre Ward,birth place
http://boxrec.com/boxer/628407,Boxer,Naoya Inoue,role
http://boxrec.com/boxer/628407,3 / 6901 / 114,Naoya Inoue,ranking
http://boxrec.com/boxer/628407,13,Naoya Inoue,bouts
http://boxrec.com/boxer/628407,82,Naoya Inoue,rounds
http://boxrec.com/boxer/628407,85%,Naoya Inoue,KOs
http://boxrec.com/boxer/628407,628407,Naoya Inoue,global ID
