division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
middleweight,http://boxrec.com/boxer/348759,2017-09-16,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Middleweight"" border=""0"" class=""dLink"">WBC World middleweight title</a><br><a href=""http://boxrec.com/title/WBASUP?division=Middleweight"" border=""0"" class=""dLink"">WBA Super World middleweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Middleweight"" border=""0"" class=""dLink"">IBF World middleweight title</a><br><a href=""http://boxrec.com/title/IBO?division=Middleweight"" border=""0"" class=""dLink"">International Boxing Organization World middleweight title</a><br></td>",http://boxrec.com/show/751017,http://boxrec.com/boxer/356831,,"T-Mobile Arena, Las Vegas, Nevada",Gennady Golovkin,Saul Alvarez,
super welterweight,http://boxrec.com/boxer/328611,2017-07-29,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Light%20Middleweight"" border=""0"" class=""dLink"">IBF World super welterweight title</a><br></td>",http://boxrec.com/show/752308,http://boxrec.com/boxer/625960,,New York,Jarrett Hurd,Austin Trout,
super flyweight,http://boxrec.com/boxer/453433,2017-07-02,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Super%20Flyweight"" border=""0"" class=""dLink"">IBF World super flyweight title</a><br></td>",http://boxrec.com/show/749182,http://boxrec.com/boxer/506289,,"Suncorp Stadium, Brisbane, Queensland",Jerwin Ancajas,Teiru Kinoshita,
lightweight,http://boxrec.com/boxer/238429,2017-06-30,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Lightweight"" border=""0"" class=""dLink"">IBF World lightweight title</a><br></td>",http://boxrec.com/show/749534,http://boxrec.com/boxer/631773,,"Huntington Center, Toledo, Ohio",Robert Easter Jr,Denis Shafikov,
light heavyweight,http://boxrec.com/boxer/505927,2017-06-17,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBASUP?division=Light%20Heavyweight"" border=""0"" class=""dLink"">WBA Super World light heavyweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Light%20Heavyweight"" border=""0"" class=""dLink"">IBF World light heavyweight title</a><br><a href=""http://boxrec.com/title/WBO?division=Light%20Heavyweight"" border=""0"" class=""dLink"">WBO World light heavyweight title</a><br></td>",http://boxrec.com/show/749105,http://boxrec.com/boxer/281958,,"Mandalay Bay Hotel & Casino, Events Center, Las Vegas, Nevada",Andre Ward,Sergey Kovalev,
bantamweight,http://boxrec.com/boxer/648299,2017-06-10,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Bantamweight"" border=""0"" class=""dLink"">IBF World bantamweight title</a><br></td>",http://boxrec.com/show/750504,http://boxrec.com/boxer/178678,,"Odyssey Arena, Belfast, Northern Ireland",Lee Haskins,Ryan Burnett,
welterweight,http://boxrec.com/boxer/629465,2017-05-27,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Welterweight"" border=""0"" class=""dLink"">IBF World welterweight title</a><br><span style=""font-size:10px;"">Brook down in rounds 10 &amp; 11</span></td>",http://boxrec.com/show/748356,http://boxrec.com/boxer/272717,KO,"Bramall Lane Football Ground, Sheffield, Yorkshire",Kell Brook,Errol Spence Jr,L 
minimumweight,http://boxrec.com/boxer/481446,2017-05-27,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Minimumweight"" border=""0"" class=""dLink"">IBF World minimumweight title</a><br><span style=""font-size:10px;"">Stoppage win for Argumedo after Mendoza was declared unfit to continue from cut over his left eye caused by a punch.</span></td>",http://boxrec.com/show/747580,http://boxrec.com/boxer/551036,TKO,"Arena TV Azteca, Monterrey, Nuevo León",Jose Argumedo,Gabriel Mendoza,W
light flyweight,http://boxrec.com/boxer/296008,2017-05-21,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Light%20Flyweight"" border=""0"" class=""dLink"">IBF World light flyweight title</a><br></td>",http://boxrec.com/show/749077,http://boxrec.com/boxer/331008,TKO,"Ariake Colosseum, Tokyo",Milan Melindo,Akira Yaegashi,W
super middleweight,http://boxrec.com/boxer/571528,2017-05-20,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Super%20Middleweight"" border=""0"" class=""dLink"">interim IBF World super middleweight title</a><br><span style=""font-size:10px;"">Uzcategui DQ'd for hitting Dirrell after the bell.</span></td>",http://boxrec.com/show/746113,http://boxrec.com/boxer/291903,DQ,"MGM National Harbor, Oxon Hill, Maryland",Andre Dirrell,Jose Uzcategui,W
