division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
middleweight,http://boxrec.com/boxer/348759,2017-09-16,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Middleweight"" border=""0"" class=""dLink"">WBC World middleweight title</a><br><a href=""http://boxrec.com/title/WBASUP?division=Middleweight"" border=""0"" class=""dLink"">WBA Super World middleweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Middleweight"" border=""0"" class=""dLink"">IBF World middleweight title</a><br><a href=""http://boxrec.com/title/IBO?division=Middleweight"" border=""0"" class=""dLink"">International Boxing Organization World middleweight title</a><br></td>",http://boxrec.com/show/751017,http://boxrec.com/boxer/356831,,"T-Mobile Arena, Las Vegas, Nevada",Gennady Golovkin,Saul Alvarez,
cruiserweight,http://boxrec.com/boxer/358215,2017-08-12,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Cruiserweight"" border=""0"" class=""dLink"">vacant International Boxing Organization World cruiserweight title</a><br></td>",http://boxrec.com/show/750363,http://boxrec.com/boxer/587030,,,Kevin Lerena,Maxim Maslov,
super bantamweight,http://boxrec.com/boxer/472418,2017-06-17,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBASUP?division=Super%20Bantamweight"" border=""0"" class=""dLink"">WBA Super World super bantamweight title</a><br><a href=""http://boxrec.com/title/IBO?division=Super%20Bantamweight"" border=""0"" class=""dLink"">International Boxing Organization World super bantamweight title</a><br></td>",http://boxrec.com/show/749105,http://boxrec.com/boxer/492989,,"Mandalay Bay Hotel & Casino, Events Center, Las Vegas, Nevada",Guillermo Rigondeaux,Moises Flores,
minimumweight,http://boxrec.com/boxer/552964,2017-06-10,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Minimumweight"" border=""0"" class=""dLink"">International Boxing Organization World minimumweight title</a><br></td>",http://boxrec.com/show/746762,http://boxrec.com/boxer/431648,,"Emperors Palace, Kempton Park, Gauteng",Simphiwe Khonco,Lito Dante,
light heavyweight,http://boxrec.com/boxer/460738,2017-05-19,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Light%20Heavyweight"" border=""0"" class=""dLink"">vacant International Boxing Organization World light heavyweight title</a><br></td>",http://boxrec.com/show/744192,http://boxrec.com/boxer/431949,UD,"Barclaycard Arena, Hamburg, Hamburg",Igor Mikhalkin,Thomas Oosthuizen,W
heavyweight,http://boxrec.com/boxer/7035,2017-04-29,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBASUP?division=Heavyweight"" border=""0"" class=""dLink"">vacant WBA Super World heavyweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Heavyweight"" border=""0"" class=""dLink"">IBF World heavyweight title</a><br><a href=""http://boxrec.com/title/IBO?division=Heavyweight"" border=""0"" class=""dLink"">vacant International Boxing Organization World heavyweight title</a><br><span style=""font-size:10px;"">Klitschko down once in the 5th round and twice in the 11th.<br>Joshua down once in the 6th.</span></td>",http://boxrec.com/show/743831,http://boxrec.com/boxer/659461,TKO,"Wembley Stadium, Wembley, London",Anthony Joshua,Wladimir Klitschko,W
featherweight,http://boxrec.com/boxer/441161,2017-04-29,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Featherweight"" border=""0"" class=""dLink"">interim WBA World featherweight title</a><br><a href=""http://boxrec.com/title/IBO?division=Featherweight"" border=""0"" class=""dLink"">vacant International Boxing Organization World featherweight title</a><br></td>",http://boxrec.com/show/748845,http://boxrec.com/boxer/546653,KO,"Sam's Town Hotel & Gambling Hall, Las Vegas, Nevada",Claudio Marrero,Carlos Zambrano,W
flyweight,http://boxrec.com/boxer/677556,2017-04-28,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBO?division=Flyweight"" border=""0"" class=""dLink"">International Boxing Organization World flyweight title</a><br></td>",http://boxrec.com/show/748835,http://boxrec.com/boxer/85424,KO,"Wembley Indoor Arena, Johannesburg, Gauteng",Moruti Mthalane,Genisis Libranza,W
super lightweight,http://boxrec.com/boxer/503822,2017-04-15,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/IBF?division=Light%20Welterweight"" border=""0"" class=""dLink"">IBF World super lightweight title</a><br><a href=""http://boxrec.com/title/IBO?division=Light%20Welterweight"" border=""0"" class=""dLink"">International Boxing Organization World super lightweight title</a><br><a href=""http://boxrec.com/title/WBASUP?division=Light%20Welterweight"" border=""0"" class=""dLink"">WBA Super World super lightweight title</a><br></td>",http://boxrec.com/show/745083,http://boxrec.com/boxer/71275,UD,"The SSE Hydro, Glasgow, Scotland",Ricky Burns,Julius Indongo,L 
cruiserweight,http://boxrec.com/boxer/514537,2017-04-01,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Cruiserweight"" border=""0"" class=""dLink"">vacant WBC World cruiserweight title</a><br><a href=""http://boxrec.com/title/IBO?division=Cruiserweight"" border=""0"" class=""dLink"">International Boxing Organization World cruiserweight title</a><br><span style=""font-size:10px;"">IBO title becomes vacant, Briedis did not pay sanction fee.
<br>Huck deducted a point under WBC headbutt rule.</span></td>",http://boxrec.com/show/745403,http://boxrec.com/boxer/280342,UD,"Westfalenhalle, Dortmund, Nordrhein-Westfalen",Marco Huck,Mairis Briedis,L 
