boxerid,eigenvecscore,boxername,alias,division,bouts,KOs,rounds,stance,debut
7035,1,Wladimir Klitschko,Dr Steelhammer,heavyweight,69,77%,369,orthodox,1996-11-16
352,0.9680141060539069,Floyd Mayweather Jr,Money / Pretty Boy,welterweight,49,53%,387,orthodox,1996-10-11
5065,0.959023065748096,Erik Morales,El Terrible,super bantamweight,61,59%,425,orthodox,1993-03-29
521,0.9214007051898773,Ricardo Lopez,Finito,minimumweight,52,73%,338,orthodox,1985-01-18
4873,0.8891660712098554,Rosendo Alvarez,El Bufalo,minimumweight,43,56%,291,orthodox,1992-12-12
8253,0.83166952874636,Oscar De La Hoya,Golden Boy,welterweight,45,67%,308,orthodox,1992-11-23
303,0.7000090568566566,Thomas Hearns,Hitman/Motor City Cobra,super welterweight,67,72%,379,orthodox,1977-11-25
6129,0.6735608204366291,Manny Pacquiao,Pac Man,welterweight,67,57%,443,southpaw,1995-01-22
499,0.619787645457781,Evander Holyfield,The Real Deal,heavyweight,57,51%,443,orthodox,1984-11-15
1853,0.6024586453486916,Lennox Lewis,The Lion,heavyweight,44,73%,225,orthodox,1989-06-27
8010,0.5702445037171768,Marco Antonio Barrera,Baby Faced Assassin,super bantamweight,75,59%,485,orthodox,1989-11-22
281958,0.5391962214199612,Andre Ward,S.O.G.,light heavyweight,31,48%,230,orthodox,2004-12-18
34051,0.5337271193234846,Pongsaklek Wonjongkam,Pongsaklek Sitkanongsak,flyweight,97,48%,620,southpaw,1994-12-21
426053,0.5215562564005136,Keith Thurman,One Time,welterweight,29,76%,136,orthodox,2007-11-09
269,0.5002134781523696,Sugar Ray Leonard,Sugar,welterweight,40,63%,306,orthodox,1977-02-05
445,0.4980398038977282,Humberto Gonzalez,Chiquita,light flyweight,46,65%,272,orthodox,1984-09-04
429442,0.4949469997696462,Danny Garcia,Swift,welterweight,34,56%,218,orthodox,2007-11-17
4952,0.4688048623148779,Shane Mosley,Sugar,welterweight,61,67%,445,orthodox,1993-02-11
38070,0.4629370295689013,Jhonny Gonzalez,NA,super featherweight,73,73%,368,orthodox,1999-08-14
8166,0.450236874600721,Juan Martin Coggi,Látigo,super lightweight,82,54%,585,southpaw,1982-04-02
