division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
super middleweight,http://boxrec.com/boxer/182945,2017-06-17,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Super%20Middleweight"" border=""0"" class=""dLink"">WBA World super middleweight title</a><br></td>",http://boxrec.com/show/751525,http://boxrec.com/boxer/605626,,"Rittal Arena, Wetzlar, Hessen",Tyron Zeuge,Paul Smith,
middleweight,http://boxrec.com/boxer/657422,2017-05-20,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Middleweight"" border=""0"" class=""dLink"">vacant WBA World middleweight title</a><br></td>",http://boxrec.com/show/749035,http://boxrec.com/boxer/294764,SD,"Ariake Colosseum, Tokyo",Hassan N'Dam N'Jikam,Ryota Murata,W
super flyweight,http://boxrec.com/boxer/285069,2017-05-13,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Super%20Flyweight"" border=""0"" class=""dLink"">WBA World super flyweight title</a><br><span style=""font-size:10px;"">Muranaka down in the 2nd round<br>Yafai had one point deducted in the 8th for repeated low blows.</span></td>",http://boxrec.com/show/745828,http://boxrec.com/boxer/613018,UD,"Barclaycard Arena (formerly NIA) , Birmingham, West Midlands",Khalid Yafai,Suguru Muranaka,W
featherweight,http://boxrec.com/boxer/441161,2017-04-29,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Featherweight"" border=""0"" class=""dLink"">interim WBA World featherweight title</a><br><a href=""http://boxrec.com/title/IBO?division=Featherweight"" border=""0"" class=""dLink"">vacant International Boxing Organization World featherweight title</a><br></td>",http://boxrec.com/show/748845,http://boxrec.com/boxer/546653,KO,"Sam's Town Hotel & Gambling Hall, Las Vegas, Nevada",Claudio Marrero,Carlos Zambrano,W
flyweight,http://boxrec.com/boxer/283941,2017-04-23,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Flyweight"" border=""0"" class=""dLink"">WBA World flyweight title</a><br></td>",http://boxrec.com/show/747154,http://boxrec.com/boxer/483786,UD,"EDION Arena Osaka, Osaka, Osaka",Kazuto Ioka,Noknoi Sitthiprasert,W
light heavyweight,http://boxrec.com/boxer/580444,2017-04-14,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Light%20Heavyweight"" border=""0"" class=""dLink"">interim WBA World light heavyweight title</a><br><span style=""font-size:10px;"">Clarkson down twice in Rd. 1 and once in rd. 4</span></td>",http://boxrec.com/show/747752,http://boxrec.com/boxer/703924,TKO,"MGM National Harbor, Oxon Hill, Maryland",Dmitry Bivol,Samuel Clarkson,W
super bantamweight,http://boxrec.com/boxer/281534,2017-04-09,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Super%20Bantamweight"" border=""0"" class=""dLink"">WBA World super bantamweight title</a><br></td>",http://boxrec.com/show/746510,http://boxrec.com/boxer/652392,RTD,"EDION Arena Osaka, Osaka, Osaka",Shun Kubo,Nehomar Cermeno,W
lightweight,http://boxrec.com/boxer/371746,2017-03-25,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Lightweight"" border=""0"" class=""dLink"">WBA World lightweight title</a><br><span style=""font-size:10px;"">Crolla, down in the 7th round, cut on the left eyebrow.</span></td>",http://boxrec.com/show/744739,http://boxrec.com/boxer/157610,UD,"Manchester Arena (formerly M.E.N Arena), Manchester, Lancashire",Jorge Linares,Anthony Crolla,W
super middleweight,http://boxrec.com/boxer/310668,2017-03-25,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Super%20Middleweight"" border=""0"" class=""dLink"">WBA World super middleweight title</a><br><a href=""http://boxrec.com/title/GBU?division=Super%20Middleweight"" border=""0"" class=""dLink"">Global Boxing Union World super middleweight title</a><br></td>",http://boxrec.com/show/746049,http://boxrec.com/boxer/605626,TD,"MBS Arena, Potsdam, Brandenburg",Tyron Zeuge,Isaac Ekpo,W
super welterweight,http://boxrec.com/boxer/468433,2017-03-11,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBA?division=Light%20Middleweight"" border=""0"" class=""dLink"">WBA World super welterweight title</a><br></td>",http://boxrec.com/show/745274,http://boxrec.com/boxer/518703,SD,"Friedrich-Ebert-Halle, Ludwigshafen, Rheinland-Pfalz",Jack Culcay,Demetrius Andrade,L 
