division,boxer2id,date,othertext,fightid,boxer1id,decision,place,boxer1,boxer2,WinLoss
super welterweight,http://boxrec.com/boxer/335572,2017-08-26,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBO?division=Light%20Middleweight"" border=""0"" class=""dLink"">vacant WBO World super welterweight title</a><br></td>",http://boxrec.com/show/751982,http://boxrec.com/boxer/33535,,"StubHub Center, Carson, California",Miguel Cotto,Yoshihiro Kamegai,
middleweight,http://boxrec.com/boxer/238446,2017-07-08,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBO?division=Middleweight"" border=""0"" class=""dLink"">WBO World middleweight title</a><br></td>",http://boxrec.com/show/750222,http://boxrec.com/boxer/482499,,"Copper Box Arena, Queen Elizabeth Olympic Park, Hackney Wick, London",Billy Joe Saunders,Avtandil Khurtsidze,
welterweight,http://boxrec.com/boxer/635000,2017-07-02,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBO?division=Welterweight"" border=""0"" class=""dLink"">WBO World welterweight title</a><br></td>",http://boxrec.com/show/749182,http://boxrec.com/boxer/6129,,"Suncorp Stadium, Brisbane, Queensland",Manny Pacquiao,Jeff Horn,
light heavyweight,http://boxrec.com/boxer/505927,2017-06-17,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBASUP?division=Light%20Heavyweight"" border=""0"" class=""dLink"">WBA Super World light heavyweight title</a><br><a href=""http://boxrec.com/title/IBF?division=Light%20Heavyweight"" border=""0"" class=""dLink"">IBF World light heavyweight title</a><br><a href=""http://boxrec.com/title/WBO?division=Light%20Heavyweight"" border=""0"" class=""dLink"">WBO World light heavyweight title</a><br></td>",http://boxrec.com/show/749105,http://boxrec.com/boxer/281958,,"Mandalay Bay Hotel & Casino, Events Center, Las Vegas, Nevada",Andre Ward,Sergey Kovalev,
super flyweight,http://boxrec.com/boxer/569060,2017-05-21,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBO?division=Super%20Flyweight"" border=""0"" class=""dLink"">WBO World super flyweight title</a><br></td>",http://boxrec.com/show/749077,http://boxrec.com/boxer/628407,KO,"Ariake Colosseum, Tokyo",Naoya Inoue,Ricardo Rodriguez,W
super lightweight,http://boxrec.com/boxer/502699,2017-05-20,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBC?division=Light%20Welterweight"" border=""0"" class=""dLink"">WBC World super lightweight title</a><br><a href=""http://boxrec.com/title/WBO?division=Light%20Welterweight"" border=""0"" class=""dLink"">WBO World super lightweight title</a><br></td>",http://boxrec.com/show/746195,http://boxrec.com/boxer/447121,RTD,"Madison Square Garden, New York, New York",Terence Crawford,Felix Diaz,W
light flyweight,http://boxrec.com/boxer/634552,2017-05-20,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBO?division=Light%20Flyweight"" border=""0"" class=""dLink"">WBO World light flyweight title</a><br></td>",http://boxrec.com/show/748661,http://boxrec.com/boxer/666339,UD,"Takeda  Teva Ocean Arena, Nagoya, Aichi",Kosei Tanaka,Angel Acosta,W
heavyweight,http://boxrec.com/boxer/565200,2017-05-06,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBO?division=Heavyweight"" border=""0"" class=""dLink"">WBO World heavyweight title</a><br><span style=""font-size:10px;"">The referee deducted a point against Cojanu at the 4th round due to repeatedly pushing down the head of Parker during the clinches</span></td>",http://boxrec.com/show/746275,http://boxrec.com/boxer/613846,UD,"Vodafone Events Centre, Manukau City",Joseph Parker,Razvan Cojanu,W
bantamweight,http://boxrec.com/boxer/568806,2017-04-23,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBO?division=Bantamweight"" border=""0"" class=""dLink"">vacant WBO World bantamweight title</a><br></td>",http://boxrec.com/show/747154,http://boxrec.com/boxer/482863,TKO,"EDION Arena Osaka, Osaka, Osaka",Marlon Tapales,Shohei Omori,W
featherweight,http://boxrec.com/boxer/501289,2017-04-22,"<td colspan=""12"" style=""text-align:center;""><a href=""http://boxrec.com/title/WBO?division=Featherweight"" border=""0"" class=""dLink"">WBO World featherweight title</a><br><span style=""font-size:10px;"">Marriaga down once in Round 10.</span></td>",http://boxrec.com/show/746735,http://boxrec.com/boxer/629933,UD,"StubHub Center, Carson, California",Oscar Valdez,Miguel Marriaga,W
